School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Gettysburg College,Northeast (Mid-Atlantic),,Town: Fringe,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,25000,66640,16110,86750,Both,266,1,59827,23933,Yes (Need-aware),44000,Eisenhower Scholarship,Gettysburg's most selective merit award for students with exceptional records in academics and community engagement. No separate application is required; consideration is automatic for all first-year applicants.,22640,42750,Automatic consideration,Both,,early_admission; generous_aid; affordable
Gonzaga University,West Coast,,City: Midsize,Coeducational,No,Balanced,High,On-campus,3-Somewhat,50000,55480,15730,75210,Both,156,0.61,24218,48362,No,25000,First-Year Merit Scholarship,All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate form is needed.,30480,50210,Automatic consideration,Early Action Only,,early_admission
Gordon College,Northeast (New England),"Boston, MA",Rural: Fringe,Coeducational,No,Arts and Sciences,High,On-campus,5-Very,35000,30700,13300,48000,Both,149,0.97,14395,30355,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Goshen College,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Very High,On-campus,4-Moderately,25000,38890,11770,54660,Both,88,1,30369,22711,No,,,,,TBD,Unclear,,,affordable
Goucher College,Northeast (Mid-Atlantic),"Washington, DC",City: Small,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,30000,53350,17190,74540,Both,17,0.57,45406,26494,No,not specified,Merit Scholarship,All international applicants are automatically considered for merit-based scholarships. No separate application is required. Decisions are based on the strength of the admission application materials.,,,Automatic consideration,Early Action Only,,early_admission; affordable
Governors State University,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Majority,Off-campus,0-None,0,14506,10360,28866,Merit,36,1,27766,-1586,No,Full ride+stipend,Presidential Scholarship,A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview. Only 2 slots per year,0,3500,Requires application,Early Decision only,,early_admission; affordable
Grand Valley State University,Midwest (Great Lakes),,Town: Fringe,Coeducational,No,Professional,Very High,On-campus,0-None,30000,21548,11410,36958,Merit,215,0.87,8564,27398,No,,,,,TBD,Unclear,,,affordable
Grinnell College,Midwest (Great Plains),,Town: Remote,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,30000,68106,16842,88948,Both,219,0.66,56130,28610,Yes (Need-aware),Demonstrated Need,,,0,,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
Guilford College,Southeast,"Raleigh, NC",City: Large,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,,41140,12900,58040,Merit,No data,,No data,,No,27000,Nathan Hunt Scholarship,One of Guilford's top Merit Scholarships. All applicants for admission are automatically considered. No separate application is necessary.,14140,31040,Automatic consideration,,,generous_aid
Gustavus Adolphus College,Midwest (Great Plains),,Town: Fringe,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,35000,54310,11290,69600,Both,85,0.97,37139,32461,No,32500,President Scholarship,The college's most prestigious academic scholarship. Students must first be admitted to the college to be considered. Top applicants are invited to apply.,21810,37100,Automatic consideration,,,
Hamilton College,Northeast (Mid-Atlantic),,Suburb: Midsize,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,15000,68960,17510,90470,Need,70,0.46,72792,13638,Yes (Need-aware),,,,,,,Early Decision only,Yes,early_admission; generous_aid; affordable
Hampden-Sydney College,Southeast,,Rural: Distant,Men's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,10000,54550,16732,75282,Merit,5,0.95,61577,9921,No,Full ride+stipend,Madison Scholarship,"A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.",0,2000,By invitation only,Both,,early_admission; generous_aid; affordable
Hampton University,Southeast,,Suburb: Large,Coeducational,Yes,Professional,High,On-campus,1-Historically,10000,30842,14308,49150,Both,16,0.41,36808,9340,,,,,,,Unclear,Both,,early_admission; affordable
Hanover College,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,,44288,14013,62301,Merit,38,0.84,33196,,No,Full ride+stipend,Spencer Scholarship for Engineering,This scholarship is for students in the dual-degree engineering program. Other Merit Scholarships are awarded automatically based on the admission application. No separate application is required for general merit awards.,0,3000,Requires application,Both,,early_admission
Harding University,South (Central),,Town: Distant,Coeducational,No,Professional,High,On-campus,5-Very,30000,25962,9060,39022,Merit,105,0.58,13769,25059,No,,,,,,Unclear,Early Decision only,,early_admission; affordable
Hartwick College,Northeast (Mid-Atlantic),,Town: Remote,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,60000,54962,15232,74194,Merit,15,0.46,12373,59123,No,,,,,TBD,Unclear,Early Decision only,,early_admission
Harvard University,Northeast (New England),"Boston, MA",City: Midsize,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,10000,61676,21190,86866,Need,711,0.72,75088,8362,Yes (Need-blind),,,,,,Automatically Awarded,Restricted Early Action Only,,early_admission; generous_aid; affordable; global_top_200; ivy_league
Harvey Mudd College,West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,55000,68613,22318,94931,Both,30,0.32,40250,51715,No,10000,Harvey S. Mudd and Esterbrook scholarships,These are merit-based scholarships awarded to a select number of students. No separate application is required; recipients are selected based on their outstanding admission applications.,58613,84931,Automatic consideration,Early Decision only,Yes,early_admission
Haverford College,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,10000,70398,19170,93568,Need,56,0.36,85402,5498,Yes (Need-aware),,,,,,,Early Decision only,Yes,early_admission; generous_aid; affordable
Hawaii Pacific University,Hawaii,,City: Large,Coeducational,No,Professional,High,On-campus,0-None,,34392,21050,59442,Merit,No data,,No data,,No,50% tuition,YouAreWelcomeHere Scholarship Scholarship,"A scholarship for incoming international students. Requires a separate application, including an essay, to be submitted after receiving an offer of admission.",17196,42246,Requires application,Early Action Only,,early_admission; generous_aid
Hendrix College,South (Central),,City: Small,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,,38200,14852,57052,Merit,14,0.67,46761,,No,15000,Hendrix College Academic Scholarships,All applicants are automatically considered for merit-based academic scholarships upon admission. No separate application is required.,23200,42052,Automatic consideration,Early Action Only,,early_admission
High Point University,Southeast,"Raleigh, NC",City: Midsize,Coeducational,No,Balanced,High,On-campus,2-Slightly,,44208,18462,66670,,No data,,No data,,No,not specified,Merit Scholarship,A student's application for admission is also their application for merit-based scholarships. No separate application is required. Awards are based on academic achievement.,,,,Both,,early_admission; generous_aid
Hillsdale College,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,15000,33189,13600,50789,Both,30,1,36550,12722,No,Full Tuition,Merit Scholarship and Leadership Scholarship,"The college offers hundreds of privately funded scholarships based on academic merit, leadership, and other talents. Consideration is automatic with the admission application.",0,17600,Automatic consideration,Early Decision only,,early_admission; affordable
Hiram College,Midwest (Great Lakes),,Rural: Distant,Coeducational,No,Professional,Very High,On-campus,1-Historically,,27600,11850,43450,Merit,5,0.64,14440,,No,10000,International Global Scholarship,Admitted international students are Automatically Awardeded the Global Scholarship. No separate application is required. The award is renewable for four years.,17600,33450,Automatic consideration,,,
Hobart & William Smith Colleges,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,30000,64842,17768,86610,Merit,114,0.99,55218,29384,Yes (Need-aware),40000,Unspecified,"All applicants are automatically considered for Merit Scholarships (e.g., Trustee, Blackwell) at the time of admission. Some specific awards, like the Centennial Center Leadership Scholarship, require a separate application after admission.",24842,46610,Automatic consideration,Both,,early_admission; generous_aid; affordable
Hofstra University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Professional,Majority,On-campus,0-None,50000,57660,18942,80602,Merit,178,0.79,30997,46173,No,28000,Presidential Scholarship,The Presidential Scholarship is the highest merit award. All first-year applicants are automatically considered based on their admission application. No separate application is needed.,29660,52602,Automatic consideration,Early Action Only,,early_admission
Hollins University,Southeast,,Suburb: Midsize,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,25000,42260,15800,62060,Merit,42,1,36926,24294,No,,,,,TBD,Unclear,Early Action Only,,early_admission; affordable
Hood College,Northeast (Mid-Atlantic),"Washington, DC",City: Small,Coeducational,No,Balanced,Majority,On-campus,1-Historically,30000,47700,16200,67900,Both,11,0.91,36674,27446,,,,,,,Unclear,,,affordable
Hope College,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Exclusively,On-campus,4-Moderately,30000,38530,12450,54980,Merit,55,0.65,27064,26786,No,25000,Trustee Scholarship,"All international applicants are automatically considered for a merit-based scholarship upon admission. The primary considerations are academic performance, personal statement, activities, and leadership.",13530,29980,Automatic consideration,Early Action Only,,early_admission; affordable
Howard University,Northeast (Mid-Atlantic),"Washington, DC",City: Large,Coeducational,Yes,Balanced,Majority,On-campus,1-Historically,30000,35810,17322,57132,Both,456,0.91,25047,28771,No,,,,,TBD,Unclear,Both,,early_admission; affordable
Hult International Business School,Northeast (New England),"Boston, MA",City: Midsize,Coeducational,No,Professional,Minority,Off-campus,0-None,,56200,19400,79600,Pending,No data,,No data,,,,,,,,Unclear,Early Decision only,,early_admission; generous_aid
Idaho State University,West (Rocky Mountains),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,30000,27720,6300,38020,Merit,48,0.35,9261,29831,No,OOS waiver,Non-Resident Tuition Waivers,"A limited number of tuition waivers that reduce tuition to the in-state rate are available for international students. Awarded on a competitive, first-come, first-served basis, typically requiring a high GPA (3.5+).",8610,18910,Automatic consideration,,,affordable
Illinois Institute of Technology,Midwest (Great Lakes),"Chicago, IL",City: Large,Coeducational,No,Professional,Majority,On-campus,0-None,50000,52386,17356,73742,Both,392,0.95,25131,47160,No,Full Tuition,M. A. and Lila Self Leadership Academy Scholarship,"This is a premier scholarship program. Students are automatically reviewed for most institutional scholarships, including this one, upon application. Some top awards, like the Camras Scholarship, may require an interview.",0,21356,Requires application,Both,,early_admission
Illinois State University,Midwest (Great Lakes),"Chicago, IL",Suburb: Midsize,Coeducational,No,Professional,Very High,On-campus,0-None,30000,27524,11026,42550,Merit,83,0.6,16443,26152,No,5000,International Student Scholarships,The university offers various scholarships for international students. New students are automatically considered for the International Student Merit Scholarship upon admission based on GPA. No separate application required.,22524,37550,Automatic consideration,,,affordable
Illinois Wesleyan University,Midwest (Great Lakes),"Chicago, IL",City: Small,Coeducational,No,Balanced,Exclusively,On-campus,1-Historically,35000,57704,13370,75074,Both,99,1,40342,32292,No,Full Tuition,President’s Scholarship,Two full-tuition scholarships are awarded to highly qualified first-year international students. Consideration is automatic with the admission application.,0,17370,Automatic consideration,Early Action Only,,early_admission
Indiana State University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,Off-campus,0-None,,22322,11794,38116,Merit,,,,,No,5000,President Scholarship,"This is the premier scholarship for out-of-state students. Requires a separate application, and finalists must attend an on-campus interview. Open to international students.",17322,33116,Automatic consideration,,,
Indiana University east,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Balanced,Very High,On-campus,0-None,35000,22811,10972,37783,Merit,21,0.46,10330,30713,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Indiana University-Bloomington,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,High,On-campus,0-None,50000,41891,13984,59875,Merit,689,0.4,12521,45341,No,Full ride,Wells Scholarship,A prestigious full-cost-of-attendance scholarship. International students must be nominated by their high school. Students can also be considered for nomination by the Office of International Services after applying for admission.,0,4000,Requires nomination,Early Action Only,,early_admission; global_top_200
Iona University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,47260,18820,70080,Merit,76,0.87,45654,,No,25000,President Scholarship,This is the highest merit-based scholarship. Students are automatically considered with their application for admission. No separate scholarship application is necessary.,22260,45080,Automatic consideration,Both,,early_admission
Iowa State University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,30000,28881,10808,43689,Merit,293,0.36,12483,28926,No,10000,International Merit Scholarship Award of Achievement,The top tier of international merit awards. Requires completing the Oneapp scholarship application after being admitted. Selection is competitive and based on a holistic review of academics and test scores.,18881,33689,Automatic consideration,,,affordable
Ithaca College,Northeast (Mid-Atlantic),,Suburb: Small,Coeducational,No,Professional,Very High,On-campus,0-None,25000,52155,16192,72347,Both,129,0.99,46885,23215,No,7000,Leadership Scholar Program,A specific scholarship for students with a demonstrated record of leadership. Requires a separate application in addition to the admission application. Other Merit Scholarships are awarded automatically.,45155,65347,Requires application,Both,,early_admission; affordable
Jackson State University,Southeast (Deep South),,Suburb: Large,Coeducational,Yes,Balanced,High,On-campus,1-Historically,20000,10795,11066,25861,Merit,74,1,9303,16589,No,Full ride+stipend,Presidential Scholarship,The premier scholarship covering full costs. Requires a high GPA and ACT/SAT score. Consideration is automatic with the admission application.,0,3250,Automatic consideration,,,affordable
Jacksonville University,Southeast,,City: Large,Coeducational,No,Professional,High,On-campus,1-Historically,25000,47830,17210,69040,Both,106,0.79,43701,22879,No,not specified,Merit Scholarship,All admitted first-year international students are Automatically Awardeded a Merit Scholarship upon acceptance. The amount is determined by the Office of Admissions based on academic performance.,,,Automatic consideration,,,affordable
James Madison University,Southeast,,City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,30000,31264,12916,48180,Merit,85,0.59,20835,26539,No,14000,Dingledine-Bluestone Scholarship,A scholarship for students from Virginia who have overcome adversity. This scholarship is not intended for international students.,17264,34180,Requires application,Early Action Only,,early_admission; affordable
John Brown University,South (Central),,Town: Distant,Coeducational,No,Professional,High,On-campus,5-Very,15000,31756,10472,46228,Both,128,0.74,30886,14204,,,,,,,Unclear,,,affordable
John Carroll University,Midwest (Great Lakes),,Suburb: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,40000,50500,14520,69020,Both,16,0.46,31552,35708,No,25000,Magis Scholarship,The premier merit-based scholarship. All applicants are automatically considered upon admission. No separate application is required.,25500,44020,Automatic consideration,Early Action Only,,early_admission
Johns Hopkins University,Northeast (Mid-Atlantic),"Washington, DC",City: Large,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,80000,65230,20150,89380,Both,598,0.71,12136,75114,Yes (Need-aware),Full Tuition,Charles R. Westgate Scholarship in Engineering,A full-tuition Merit Scholarship for up to two undergraduate engineering students. No separate application is needed; consideration is automatic for all first-year engineering applicants.,0,24150,Automatic consideration,Early Decision only,Yes,early_admission; global_top_200
Juniata College,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,40000,58580,14100,76680,Merit,103,0.94,37743,36205,No,25000,Juniata Provost Scholarship,This is a top merit-based scholarship for international students. Consideration is automatic when an international student applies for admission. No separate application is required.,33580,51680,Requires application,Both,,early_admission
Kalamazoo College,Midwest (Great Lakes),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,25000,60900,12549,77449,Both,45,0.87,51121,22833,No,44000,Lux Esto Scholarship,The premier Merit Scholarship. Awarded to top applicants based on their admission application. No separate application is required. Finalists are invited to a scholarship competition.,16900,33449,Automatic consideration,Both,,early_admission; generous_aid; affordable
Kansas State University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,High,Off-campus,0-None,40000,28568,11270,43838,Merit,43,0.17,5163,38673,No,not specified,William L. Richter International Scholarship,An award for international undergraduate students with high academic standing. Requires a separate application through the university's scholarship portal.,,,Requires application,,,
Kennesaw State University,Southeast (Deep South),,Suburb: Large,Coeducational,No,Professional,Very High,On-campus,0-None,,21858,13287,39145,Merit,,,,,No,OOS waiver,International Student Scholarships,The provided link is for graduate students in a specific college. General university scholarships for undergraduates may be available through the university's scholarship portal.,6948,24235,Requires application,,,
Kent State University at Kent,Midwest (Great Lakes),,Suburb: Large,Coeducational,No,Professional,High,On-campus,0-None,30000,23082,13794,40876,Merit,302,0.49,9935,29421,No,15000,Global Scholarship,Awarded automatically to eligible new international freshmen based on their cumulative high school GPA. No separate scholarship application is required.,8082,25876,Automatic consideration,,,affordable
Kentucky State University,Southeast,,Town: Distant,Coeducational,Yes,Balanced,Very High,On-campus,0-None,20000,13260,8186,25446,Merit,6,0.55,8717,16729,No,,,,,,,,,affordable
Kenyon College,Midwest (Great Lakes),,Rural: Fringe,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,25000,71520,15640,91160,Both,135,0.66,67500,20240,Yes (Need-aware),25000,Kenyon Honor and Science Scholarships,These are premier merit-based scholarships. All students who apply for admission are automatically considered. No separate application is needed.,46520,66160,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
Kettering University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,,48470,10400,62870,Merit,32,0.95,25237,,No,24000,Merit Scholarship,"All admitted students, including international students, are automatically considered for merit-based scholarships based on their high school GPA. No separate application is needed.",24470,38870,,Early Action Only,,early_admission
King University,Southeast,,City: Small,Coeducational,No,Professional,High,On-campus,4-Moderately,,34800,9960,48760,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Knox College,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,30000,57903,10728,72631,Both,193,0.99,44097,25897,No,40000,IBDP Scholarship,This scholarship is specifically for graduates of the International Baccalaureate Diploma Program. Other Merit Scholarships are awarded automatically based on the admission application.,17903,32631,Automatic consideration,Both,,early_admission; affordable
Kutztown University of Pennsylvania,Northeast (Mid-Atlantic),"Philadelphia, PA",Town: Fringe,Coeducational,No,Balanced,Very High,On-campus,0-None,25000,15964,11994,31958,Merit,60,0.77,12725,20717,No,13000,Sesquicentennial Academic Honors Scholarship,"The link refers to an International Student Tuition Waiver, which is different. The Honors Scholarship is the top merit award and requires an application to the Honors Program.",2964,18958,Requires application,,,affordable
La Roche University,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,34052,13894,51946,Merit,No data, No data ,12641,,No,15000,YouAreWelcomeHere Scholarship,"A renewable scholarship for international freshmen. Requires a separate application in addition to the admission application, demonstrating interest and initiative in promoting intercultural learning.",19052,36946,Automatic consideration,,,
Lafayette College,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,15000,64648,19866,88514,Both,99,0.53,69729,14735,Yes (Need-aware),Full Tuition,Marquis Fellowship and Marquis Scholarship,"The Marquis Fellowship is a full-tuition award, and the Marquis Scholarship is a half-tuition award. Both are renewable for up to eight semesters, provided the student maintains a 3.00 GPA. Selection is based on the academic record and personal qualities that honor the Marquis de Lafayette. No separate application required; all applicants are automatically considered upon admission. An interview is encouraged.",0,23866,By invitation only,Early Decision only,Yes,early_admission; generous_aid; affordable
Lake Forest College,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,10000,56402,12700,73102,Both,352,1,62462,8220,No,34000,Merit-based award,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.,22402,39102,Automatic consideration,Both,,early_admission; generous_aid; affordable
Lake Superior State University,Midwest (Great Lakes),,Town: Remote,Coeducational,No,Professional,Exclusively,On-campus,0-None,20000,14852,11459,30311,Merit,74,0.8,13762,15520,No,Full Tuition,Senator Philip A. Hart Memorial Scholarship,"The top automatic merit award is the Laker Gold Scholarship, based on GPA. The Hart Scholarship is competitive and requires an additional application after admission.",0,15459,Requires application,,,affordable
Lamar University,South (Central),"Houston, TX",City: Midsize,Coeducational,No,Balanced,Majority,On-campus,0-None,,23194,10464,37658,Merit,,,4687,,No,20000,Presidential Scholarship,This is the highest tier of the Lamar University Academic Scholarship. Consideration is automatic based on high school class rank and SAT/ACT scores.,3194,17658,By invitation only,,,
Lawrence Technological University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,50000,44760,11930,60690,Merit,102,0.53,11182,46360,No,16000,Presidential Scholarship,The university's most prestigious scholarship. Selection is by invitation only. Students are selected from the highest-achieving applicants for admission.,28760,44690,Automatic consideration,,,
Lawrence University,Midwest (Great Lakes),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,35000,56982,12165,73147,Both,161,1,40000,31299,No,50% tuition,Merit Scholarship,"All applicants, including international students, are automatically considered for merit-based scholarships with their application for admission.",28491,44656,Automatic consideration,Both,,early_admission
Le Moyne College,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,25000,40330,16210,60540,Both,24,0.46,35825,22805,No,,,,,TBD,Unclear,Early Action Only,,early_admission; affordable
Lehigh University,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,Coeducational,No,Professional,High,On-campus,0-None,20000,64980,17220,86200,Both,157,0.36,64916,17734,Yes (Need-aware),Full Tuition,various merit-based scholarships,"All applicants, including international students, are automatically considered for merit-based scholarships with their application for admission.",0,21220,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
LeTourneau University,South (Central),,City: Small,Coeducational,No,Professional,Very High,On-campus,6-Primarily,40000,37160,11120,52280,Merit,71,0.44,10792,39278,No,,,,,,Unclear,,,
Lewis & Clark College,West Coast,,City: Large,Coeducational,No,Arts and Sciences,Majority,Off-campus,1-Historically,35000,64828,15648,84476,Merit,111,1,47204,34148,No,Full Tuition,Merit-Based Scholarship,"All applicants are automatically considered for Merit Scholarships based on academic achievement, leadership, and other talents demonstrated in their admission application. No separate application needed.",0,19648,,Both,,early_admission
Liberty University,Southeast,,City: Small,Coeducational,No,Balanced,Majority,On-campus,6-Primarily,30000,24600,13588,42188,Both,372,0.78,9931,28210,,,,,,,Unclear,,,affordable
Lincoln Memorial University,Southeast,,Town: Distant,Coeducational,No,Professional,Minority,On-campus,2-Slightly,20000,26938,12226,43164,Merit,102,0.87,23778,18180,No,,,,,,Unclear,,,affordable
Lincoln University,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,Yes,Professional,Very High,On-campus,0-None,15000,18464,11616,34080,Merit,45,0.98,19712,14732,No,Full Tuition,International Student Merit Scholarships,A limited number of merit-based scholarships are available for new international students. Students should indicate interest and apply early. A separate scholarship application is not specified.,0,15616,Automatic consideration,,,affordable
Lindenwood University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,High,On-campus,1-Historically,35000,21100,11700,36800,Merit,363,1,4000,31900,No,,,,,TBD,Unclear,,,
Linfield University,West Coast,,Town: Distant,Coeducational,No,Balanced,Exclusively,On-campus,2-Slightly,45000,50780,14640,69420,Both,8,1,24035,43555,No,not specified,Merit Scholarship,All accepted students are Automatically Awardeded a Merit Scholarship based on their academic record. No separate application is required.,,,Automatic consideration,Early Action Only,,early_admission
Lipscomb University,Southeast,,City: Large,Coeducational,No,Professional,Majority,On-campus,5-Very,30000,40572,15424,59996,Need,94,0.96,30236,27392,No,,,,,,,,,affordable
Long Island University - LIU Post,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Professional,Majority,On-campus,0-None,,41642,17354,62996,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Longwood University,Southeast,,Town: Distant,Coeducational,No,Balanced,High,On-campus,0-None,,28076,17424,49500,Pending,No data,,No data,,No,,,,,,Unclear,Both,,early_admission; generous_aid
Louisiana State University and Agricultural & Mechanical College,Southeast (Deep South),,City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,35000,28631,14296,46927,Merit,88,0.22,13410,33517,No,Full ride+stipend,President's Alumni Scholars Award,This award is for Louisiana residents. International students are automatically considered for other awards like the Global Leaders Award upon admission.,0,2900,Automatic consideration,,,
Louisiana Tech University,Southeast (Deep South),,Town: Distant,Coeducational,No,Professional,High,On-campus,0-None,,19668,9618,33286,,,,,,No,,,,,,,,,
Loyola Marymount University,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,3-Somewhat,80000,61862,20702,86564,Merit,349,0.5,4696,78506,No,30000,Presidential Scholarship,Top academic scholarships awarded to a select group of the most accomplished first-year applicants. Consideration is automatic with the admission application. No separate application needed.,31862,56564,Automatic consideration,Both,Yes,early_admission
Loyola University Chicago,Midwest (Great Lakes),"Chicago, IL",City: Large,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,55000,53710,17010,74720,Both,243,0.96,19539,53071,No,26000,Regent's Scholarship,One of the top merit awards. All first-year applicants are automatically considered based on their admission application. No separate application is needed.,27710,48720,Automatic consideration,,,
Loyola University Maryland,Northeast (Mid-Atlantic),"Washington, DC",City: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,30000,57150,17670,78820,Merit,63,0.72,52036,25684,No,35000,Presidential Scholarship,The premier academic scholarship. All applicants for admission are automatically considered. No separate application is required.,22150,43820,Automatic consideration,Both,,early_admission; generous_aid; affordable
Loyola University New Orleans,Southeast (Deep South),,City: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,40000,49440,14910,68350,Merit,105,0.95,27294,38946,No,24000,International Student Scholarships,Admitted international students are automatically considered for merit-based scholarships. No separate application is needed. Awards are based on the strength of the admission application.,25440,44350,Automatic consideration,Early Action Only,,early_admission
Luther College,Midwest (Great Plains),,Town: Remote,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,,52120,11530,67650,Both,184,0.99,42606,,No,36000,Founder's Scholarship,One of the highest Merit Scholarships. All students are automatically considered based on their application for admission. No separate application is required.,16120,31650,Automatic consideration,,,
Lycoming College,Northeast (Mid-Atlantic),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,,49804,14612,68416,Merit,24,0.93,37608,,No,34000,Merit Scholarship,"All applicants are automatically considered for Merit Scholarships (e.g., President's, Faculty) at the time of admission based on their academic profile. No separate application is required.",15804,34416,Automatic consideration,Both,,early_admission
Lynn University,Southeast,"Miami, FL",City: Small,Coeducational,No,Professional,High,On-campus,0-None,40000,44480,14330,62810,Merit,365,0.96,21328,39372,No,19000,Merit Scholarships,All students are automatically considered for Merit Scholarships upon admission. The Presidential Scholarship is the highest award. No separate application is required.,25480,43810,Automatic consideration,Early Action Only,,early_admission
Lyon College,South (Central),,Town: Remote,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,,31150,10750,45900,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Macalester College,Midwest (Great Plains),,City: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,25000,68334,15760,88094,Both,218,0.77,61565,22820,Yes (Need-aware),23000,Merit Scholarship,The DeWitt Wallace Distinguished Scholarship is the premier merit award. All applicants are automatically considered based on their admission application. No separate application required.,45334,65094,Automatic consideration,Both,Yes,early_admission; generous_aid; affordable
Manhattan College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,52830,18800,75630,Merit,,,,,No,32000,Merit Scholarships,All international applicants are automatically reviewed for merit-based scholarships upon admission. No separate application is needed.,20830,43630,Automatic consideration,Early Decision only,,early_admission
