Common App Member,School Type,Deadline ED,Deadline EDII,Deadline EA,Deadline EAII,Deadline REA,Deadline RD/ Rolling,App Fee - US Citizen (USD),App Fee - INTL (USD),Personal Essay Required?,Courses & Grades,Supplements - Portfolio?,Supplements - Writing,Test Policy,SAT/ACT Tests Used,INTL,Recommendation - Teacher Evaluations Number required,Recommendation - Other Evaluations Number required,Mid Year Report required,Counselor Recommendation required,Saves Forms
East Texas A&M University,Coed,,,,,,Rolling,$40,$40,,,,,F,None,D or I or T or P,,,,,
East Texas Baptist University,Coed,,,,,,Rolling,$25,$25,,Yes,,,F,See Website,See Website,,,,,
Eastern Connecticut State University,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,,N,See Website,C or D or I or T or P,1,,,,
Eastern Illinois University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Eastern Mennonite University,Coed,,,,,,Rolling,$0,$50,,,,,N,None,See Website,,,,,Y
Eastern Michigan University,Coed,,,,,,Rolling,$35,$35,,,,,S,See Website,D or I or T or P,,,,,Y
Eastern Oregon University,Coed,,,,,,7/30/2026,$50,$90,,,,,N,None,D or I or T,,,,,
Eastern Washington University,Coed,,,,,,2/1/2026,$65,$65,,,,,N,See Website,See Website,,,,,
Eckerd College,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,,N,None,D or I or T,,,Y,Y,Y
Edgewood University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,,Y
Edinburgh Napier University,Coed,,,,,,Rolling,$30,$30,,Yes,,,A,See Website,See Website,1,,,,
EHL Hospitality Business School,Coed,,,,,,Rolling,$250,$250,Yes,Yes,,,S,See Website,C or D or I or T,,,Y,,Y
Elim Bible College,Coed,,,,,,7/29/2026,$0,$0,,,,,F,None,D or I or T,,,,,
Elizabeth City State University,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,See Website,,,Y,,
Elizabethtown College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,Y,
Elmhurst University,Coed,,,11/15/2025,,,Rolling,$0,$0,Yes,,,,S,See Website,See Website,,,,,
Elmira College,Coed,,,11/15/2025,,,Rolling,$0,$0,Yes,,,,S,See Website,C or D or I or T or P,1,,Y,,Y
Elms College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Elon University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/10/2026,$60,$60,Yes,,,,S,See Website,See Website,,,,Y,
Emerson College,Coed,11/3/2025,1/5/2026,11/3/2025,,,7/25/2026,$65,$0,Yes,,,Yes,N,See Website,See Website,1,,,Y,Y
Emmanuel College (MA),Coed,11/1/2025,,11/1/2025,12/15/2025,,2/15/2026,$0,$0,Yes,,,,N,None,See Website,1,,Y,Y,Y
Emory & Henry University,Coed,,,11/15/2025,1/15/2026,,7/25/2026,$0,$50,,,,,F,See Website,D or I or T,,,,,Y
Emory University,Coed,11/1/2025,1/1/2026,,,,1/1/2026,$75,$75,Yes,,,,N,See Website,See Website,2,,Y,Y,
Esade Barcelona,Coed,,,,,,7/28/2026,$135,$135,,,,,A,See Website,See Website,,,Y,,
ESCP Business School,Coed,,,,,,Rolling,$0,$0,Yes,Yes,,,F,None,C or I or T,,,Y,,Y
Eureka College,Coed,,,,,,Rolling,$0,$0,,Yes,,,F,None,See Website,,,,,Y
Evangel University,Coed,,,11/15/2025,,,Rolling,$0,$0,,,,,S,See Website,I or T,,,,,
Fairfield University,Coed,11/15/2025,1/15/2026,11/1/2025,,,1/15/2026,$65,$65,Yes,,,,N,See Website,See Website,,,,Y,Y
Fairleigh Dickinson University,Coed,,,,,,Rolling,$0,$50,,,,,S,None,See Website,,,,,Y
Faulkner University,Coed,,,,,,Rolling,$25,$25,,,,,N,See Website,D or I or T,,,,,
Fayetteville State University,Coed,,,,,,4/3/2026,$50,$50,,,,,S,SAT with essay or ACT with writing,See Website,,,,,
Fei Tian College - Northern Campus,Coed,,,,,,Rolling,$0,$0,Yes,,,,F,None,C or D or I or T or P,1,,,Y,Y
Felician University,Coed,,,,,,Rolling,$30,$30,,,,,S,See Website,See Website,,,,,Y
Ferris State University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,T,,,,,
Ferrum College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Fisher College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,C or D or I or T or P,,,,,Y
Fisk University,Coed,,,11/1/2025,2/1/2026,,7/15/2026,$35,$35,,,,,F,See Website,I or T,,,,,
Fitchburg State University,Coed,,,,,,Rolling,$35,$35,,,,,N,None,D or I or T or P,,,,,Y
Flagler College,Coed,11/1/2025,,,,,3/1/2026,$50,$50,Yes,,,,N,None,D or I or T,,,,Y,Y
Florida Agricultural & Mechanical University (FAMU),Coed,,,11/1/2025,,,2/1/2026,$30,$30,,,,,A,See Website,D or I or T,,,,,
Florida Atlantic University,Coed,,,10/15/2025,,,Rolling,$30,$30,,,,,A,See Website,See Website,,,,,
Florida Gulf Coast University,Coed,,,11/1/2025,,,3/1/2026,$30,$30,Yes,,,,A,SAT without essay or ACT without science or writing,D or I or T,,,,,Y
Florida Institute of Technology,Coed,,,,,,Rolling,$0,$0,,,,,A,SAT without essay or ACT without science or writing,See Website,,,,,Y
Florida International University,Coed,,,11/3/2025,12/17/2025,,3/4/2026,$30,$30,,,SR,,A,SAT without essay or ACT without science or writing,D or I or T,,,,,
Florida Memorial University,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,F,None,D or I or T,,,,,
Florida Polytechnic University,Coed,,,11/15/2025,1/15/2026,,3/1/2026,$0,$30,,,,,A,SAT without essay or ACT with science,See Website,,,,,
Florida Southern College,Coed,11/1/2025,,11/1/2025,,,4/1/2026,$0,$0,Yes,,,,S,See Website,D or I or T,,,,Y,Y
Florida State University,Coed,,,10/15/2025,,,12/1/2025,$30,$30,Yes,,,,A,See Website,See Website,,,,,
Fordham University,Coed,11/8/2025,1/10/2026,11/8/2025,,,1/10/2026,$80,$80,Yes,,,,N,See Website,See Website,,,Y,Y,Y
Fort Lewis College,Coed,,,11/15/2025,,,5/1/2026,$40,$40,,,,,N,None,See Website,,,,,
Framingham State University,Coed,,,11/15/2025,,,6/30/2026,$50,$50,,,,Yes,N,None,See Website,,,,,Y
Franciscan Missionaries of Our Lady University (FranU),Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,
Franklin & Marshall College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$60,$60,Yes,,,,N,See Website,See Website,1,,Y,Y,Y
Franklin College,Coed,,,,,,Rolling,$0,$0,,,,,N,SAT without essay or ACT without science or writing,D or I or T or P,,,,,Y
Franklin Pierce University,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,I or T or P,1,,,Y,Y
Franklin University Switzerland,Coed,,,12/1/2025,,,Rolling,$90,$90,Yes,,,,F,SAT without essay or ACT without science or writing,D or I or T,1,,Y,Y,Y
Franklin W. Olin College of Engineering,Coed,,,,,,1/5/2026,$85,$85,Yes,,,,N,None,See Website,2,,,Y,
Fresno Pacific University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
Frostburg State University,Coed,,,11/15/2025,,,7/28/2026,$45,$45,,,,,F,See Website,See Website,,,,,Y
Furman University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,,
Gannon University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Gardner-Webb University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Generations College,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,,
Geneva College,Coed,,,,,,Rolling,$45,$45,,,,,S,See Website,See Website,1,,,,
George Fox University,Coed,,,,,,Rolling,$0,$40,,,,,N,None,See Website,,,,,Y
George Mason University,Coed,,,11/1/2025,,,2/1/2026,$70,$80,,,,,S,See Website,See Website,,,,,Y
Georgetown College,Coed,,,,,,Rolling,$0,$100,,,,,S,None,D or I or T,,,,,
Georgia College & State University,Coed,,,10/15/2025,,,Rolling,$50,$50,,,,Yes,A,See Website,See Website,,,,,Y
Georgia Institute of Technology,Coed,,,10/15/2025,11/3/2025,,1/5/2026,$75,$85,Yes,,,,A,See Website,See Website,,,Y,,Y
Georgia Southern University,Coed,,,,,,Rolling,$30,$30,,,,,A,See Website,See Website,,,Y,,
Georgia State University,Coed,,,11/15/2025,,,4/1/2026,$60,$60,,,,,S,None,I or T or P,,,Y,,Y
Georgian Court University,Coed,,,,,,Rolling,$0,$0,Yes,,,,S,SAT without essay or ACT with science and writing,D or I or T,1,,,Y,Y
Gettysburg College,Coed,11/15/2025,1/15/2026,12/1/2025,,,1/15/2026,$60,$0,Yes,,,,F,See Website,C or D or I or T,1,,Y,Y,Y
Goldey-Beacom College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Gonzaga University,Coed,,,11/15/2025,,,5/1/2026,$60,$60,Yes,,,,N,None,See Website,1,,Y,,
Gordon College,Coed,,,11/1/2025,12/1/2025,,2/1/2026,$0,$0,,,,,N,None,See Website,,,,,Y
Goshen College,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,D or I or T,,,Y,,Y
Goucher College,Coed,,,11/15/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,1,,Y,,Y
Governors State University,Coed,,,11/15/2025,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Grace College,Coed,,,,,,Rolling,$0,$0,,,,,S,None,D or I or T,,,,,Y
Graceland University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Grand Valley State University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Grand View University,Coed,,,,,,7/17/2026,$0,$0,,,,,S,See Website,See Website,,,,,
Greensboro College,Coed,,,,,,7/28/2026,$0,$0,,,,,N,None,D or I or T or P,,,,,
Greenville University,Coed,,,,,,7/30/2026,$0,$0,,,,,N,None,See Website,,,,,
Grinnell College,Coed,11/15/2025,1/5/2026,,,,1/15/2026,$0,$0,Yes,,,,S,See Website,See Website,2,,Y,Y,
Guilford College,Coed,11/10/2025,,12/1/2025,,,1/15/2026,$0,$0,Yes,,COL,,F,See Website,See Website,,,,,Y
Gustavus Adolphus College,Coed,,,11/1/2025,,,Rolling,$0,$50,,,,,N,None,D or I or T,,,,,
Gwynedd Mercy University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,1,,,,Y
Hamilton College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$65,$65,Yes,,,,N,See Website,See Website,1,,Y,Y,
Hamline University (MN),Coed,,,11/1/2025,,,1/15/2026,$0,$0,,,,,N,See Website,See Website,,,,,
Hampden-Sydney College,Men,11/3/2025,,10/15/2025,12/1/2025,,2/2/2026,$0,$0,,,,,S,See Website,See Website,1,,Y,Y,
Hampshire College,Coed,11/15/2025,1/1/2026,12/1/2025,,,1/15/2026,$0,$0,Yes,,,,I,See Website,D or I or T,1,,Y,Y,Y
Hampton University,Coed,,,11/15/2025,,,3/1/2026,$60,$60,Yes,Yes,,,S,See Website,See Website,,,,Y,Y
Hanover College,Coed,,,11/1/2025,12/15/2025,,2/1/2026,$0,$60,,,,,S,See Website,See Website,,,,,Y
Harcum College,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,D or I or T,,,,,Y
Hardin-Simmons University,Coed,,,,,,Rolling,$0,$75,,,,,F,None,D or I or T,,,,,
Harrisburg University of Science and Technology,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Hartwick College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Harvard University,Coed,,,,,11/1/2025,1/1/2026,$90,$90,Yes,,SR,,A,See Website,See Website,2,,Y,Y,Y
Harvey Mudd College,Coed,11/15/2025,1/5/2026,,,,1/5/2026,$70,$70,Yes,,,,N,None,C or D or I or T,2,,Y,,
Hastings College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Haverford College,Coed,11/15/2025,1/5/2026,,,,1/10/2026,$65,$65,Yes,,SR,Yes,N,None,D or I or T,2,,Y,Y,Y
Hawaii Pacific University,Coed,11/15/2025,,11/15/2025,,,1/15/2026,$45,$45,,,,,N,See Website,See Website,,,,,
Heidelberg University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Hellenic College,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,1,,,,Y
Hendrix College,Coed,,,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,N,See Website,C or D or I or T or P,,,,,Y
High Point University,Coed,11/1/2025,2/1/2026,11/15/2025,,,3/1/2026,$50,$50,Yes,,,,S,See Website,D or I or T,,,,Y,Y
Hilbert College,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,C or D or I or T or P,,,,,Y
Hillsdale College,Coed,11/1/2025,,,,,4/15/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Hiram College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Hobart and William Smith Colleges,Coed,11/15/2025,1/15/2026,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,N,See Website,D or I or T,,,Y,Y,Y
Hofstra University,Coed,,,11/15/2025,12/15/2025,,Rolling,$70,$75,Yes,,,,S,See Website,T,1,,Y,,Y
Hollins University,Women,10/15/2025,,11/1/2025,,,2/1/2026,$0,$0,,,,,F,See Website,See Website,,,,,Y
Holy Apostles College & Seminary,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,D or I or T,,1,,,Y
Holy Cross College,Coed,,,11/1/2025,,,2/15/2026,$0,$0,,,,,N,See Website,See Website,,,,,Y
Hood College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Hope College,Coed,,,11/1/2025,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Houghton University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,D or I or T,,,,,Y
Houston Christian University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Howard University,Coed,11/15/2025,,11/15/2025,,,3/31/2026,$45,$45,Yes,,SR,,N,See Website,See Website,1,,,Y,Y
"Hult International Business School – U.S, U.K, Dubai",Coed,,,12/15/2025,,,4/1/2026,$95,$95,,,,,N,See Website,See Website,1,,Y,Y,Y
Huntington University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T or P,,,,,
Husson University,Coed,,,,,,Rolling,$40,$0,Yes,,,,N,None,See Website,,,,Y,
ICN Business School,Coed,,,,,,Rolling,$50,$50,,,,,A,See Website,C or D or I or T or P,,,Y,,
IE University - Madrid Campus and Segovia Campus,Coed,,,,,,Rolling,$140,$140,Yes,,,,A,See Website,C or D or I or T,1,,Y,Y,Y
Illinois College,Coed,,,12/1/2025,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Illinois Institute of Technology,Coed,11/1/2025,,12/15/2025,,,3/1/2026,$0,$0,Yes,,,,N,None,D or I or T,,,,,Y
Illinois State University,Coed,,,11/1/2025,,,Rolling,$55,$55,,,,,S,See Website,See Website,,,,,
Illinois Wesleyan University,Coed,,,11/15/2025,,,3/15/2026,$0,$0,Yes,,,,S,SAT without essay or ACT without science or writing,I or T,,,,,Y
Immaculata University,Coed,,,,,,Rolling,$0,$0,,,,Yes,N,See Website,D or I or T,,,,,Y
Indiana State University,Coed,,,,,,Rolling,$0,$65,,,,,S,See Website,See Website,,,,,
Indiana Tech,Coed,,,,,,Rolling,$0,$0,,,,,F,None,See Website,,,,,
Indiana University Bloomington,Coed,,,11/1/2025,,,2/1/2026,$65,$65,Yes,,,,S,See Website,See Website,,,,,Y
Indiana University Indianapolis,Coed,,,,,,Rolling,$65,$65,,,,,N,None,See Website,,,,,Y
Indiana University Northwest,Coed,,,,,,Rolling,$15,$65,,,,,S,See Website,See Website,,,,,
Indiana University South Bend,Coed,,,,,,Rolling,$0,$65,,,,,F,See Website,C or D or I or T or P,,,,,
Indiana University Southeast,Coed,,,,,,Rolling,$0,$0,,,,,N,None,C or D or I or T,,,,,
Indiana Wesleyan University (Marion),Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,I or T,,,Y,,Y
Inter American University of Puerto Rico,Coordinate,,,,,,5/31/2026,$0,$0,,,,,A,See Website,See Website,,,,,
Iona University,Coed,12/1/2025,,12/15/2025,1/15/2026,,2/15/2026,$50,$50,Yes,,,,N,None,I or T,1,,Y,Y,Y
Iowa State University,Coed,,,,,,Rolling,$55,$65,,,,,F,See Website,See Website,,,,,Y
Ithaca College,Coed,11/1/2025,,12/15/2025,,,6/1/2026,$60,$0,Yes,,,,S,See Website,See Website,,,Y,,
Jack Kent Cooke Foundation,Coed,,,,,,11/12/2025,$0,$0,Yes,Yes,,,F,See Website,See Website,2,,,Y,Y
Jackson State University,Coed,,,,,,Rolling,$25,$25,,,,,N,None,I or T,,,,,
Jacksonville University,Coed,,,,,,Rolling,$30,$30,,,,,S,SAT without essay or ACT without science or writing,C or D or I or T or P,,,,,Y
James Madison University,Coed,,,11/1/2025,,,1/15/2026,$70,$70,,,SR,,N,None,See Website,,,,,Y
Jarvis Christian University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,T,,,,,
John Cabot University in Rome,Coed,,,11/15/2025,,,3/1/2026,$50,$50,Yes,,,,F,None,See Website,2,,,,Y
John Carroll University,Coed,,,11/1/2025,,,Rolling,$0,$0,Yes,,,,N,See Website,I or T,,,,Y,Y
Johns Hopkins University,Coed,11/1/2025,1/2/2026,,,,1/2/2026,$70,$70,Yes,,,Yes,A,SAT without essay or ACT without science or writing,See Website,2,,Y,Y,Y
Johnson & Wales University-Charlotte,Coed,,,11/16/2025,1/4/2026,,3/1/2026,$0,$0,,,,,S,See Website,See Website,,,,,Y
Johnson & Wales University-Providence,Coed,,,11/16/2025,1/4/2026,,3/1/2026,$0,$0,,,,,S,See Website,See Website,,,,,Y
Johnson C Smith University,Coed,,,,,,Rolling,$25,$25,,,,,N,None,See Website,,,,,
Juniata College,Coed,11/15/2025,,12/1/2025,1/15/2026,,3/15/2026,$0,$50,Yes,,,,N,See Website,See Website,1,,,Y,Y
Kalamazoo College,Coed,11/1/2025,,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,I or T,,,Y,Y,
Kansas City Art Institute,Coed,,,12/1/2025,,,2/1/2026,$0,$0,,,,,N,None,See Website,,,,,
Kansas State University,Coed,,,,,,Rolling,$40,$80,,,,,S,None,See Website,,,,,Y
Kean University,Coed,,,1/1/2026,,,Rolling,$75,$75,,,,,N,None,See Website,,,,,Y
Keene State College,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,Y,
"Keiser University Flagship Campus - West Palm Beach
Florida",Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T,,,,,Y
Kennesaw State University,Coed,,,,,,Rolling,$40,$40,,,,,S,See Website,See Website,,,,,
Kent State University,Coed,,,,,,Rolling,$50,$70,,,,,N,None,See Website,,,,,Y
"Kentucky College of Art
+ Design",Coed,,,,,,Rolling,$0,$0,,,SR,,N,None,See Website,,,,,
Kentucky State University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,I or T,,,,,
Kentucky Wesleyan College,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,D or T,,,,,
Kenyon College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$0,$0,Yes,,,,N,None,D or I or T,1,,Y,Y,
Kettering University,Coed,,,11/15/2025,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,,,,,
Keuka College,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,I or T,,,Y,,
Keystone College,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Kishwaukee College,Coed,,,,,,Rolling,$0,$0,,,,,A,See Website,See Website,,,,,
Knox College,Coed,,,11/1/2025,12/1/2025,,4/1/2026,$0,$0,Yes,,,,S,See Website,D or I or T,,,Y,,
Kutztown University of Pennsylvania,Coed,,,,,,Rolling,$35,$35,,,,,N,None,See Website,,,,,Y
La Roche University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,D or I or T,,,,,
La Salle University,Coed,,,11/1/2025,,,Rolling,$0,$0,Yes,,,,N,None,See Website,1,,,Y,Y
La Sierra University,Coed,1/1/2026,,,,,7/29/2026,$25,$75,,,,,N,See Website,See Website,,,,,
Lafayette College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$65,$65,Yes,,COL,,N,None,See Website,1,,Y,Y,
Lake Erie College,Coed,,,11/20/2025,,,Rolling,$0,$0,,,,Yes,S,See Website,T,,,,,Y
Lake Forest College,Coed,11/1/2025,1/15/2026,11/1/2025,1/15/2026,,2/15/2026,$0,$0,Yes,,,,F,See Website,D or I or T,1,,,,
Lake Superior State University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Lamar University,Coed,,,,,,7/28/2026,$25,$75,,,,,S,None,D or I or T,,,,,
Lander University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,D or I or T,,,,,Y
Landmark College,Coed,,,,,,Rolling,$0,$0,,,COL,Yes,S,See Website,See Website,1,,,,Y
Lasell University,Coed,,,11/15/2025,,,Rolling,$0,$0,Yes,,,,N,None,D or I or T,,,,Y,Y
Lawrence Technological University,Coed,,,,,,Rolling,$50,$50,,,,,N,None,D or I or T,,,Y,,Y
Lawrence University,Coed,11/1/2025,1/15/2026,11/1/2025,12/1/2025,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,1,,,,Y
Le Moyne College,Coed,,,11/1/2025,,,Rolling,$0,$0,Yes,,,,N,None,D or I or T or P,,,,Y,Y
Lebanese American University - LAU,Coed,,,,,,7/15/2026,$50,$50,,,,,S,See Website,D or I or T,,,,,
Lebanon Valley College,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,Y
Leeds Beckett University,Coed,,,,,,Rolling,$0,$0,Yes,Yes,,,F,See Website,See Website,,,,,
Lees-McRae College,Coed,,,12/15/2025,,,5/1/2026,$25,$25,,,,,N,None,D or I or T,,,,,Y
Lehigh University,Coed,11/1/2025,1/1/2026,,,,1/1/2026,$75,$75,Yes,,,,N,See Website,See Website,1,,Y,Y,
LeMoyne-Owen College,Coed,,,,,,7/29/2026,$0,$0,Yes,,,,N,None,I or T,,,Y,,
Lenoir-Rhyne University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or T,,,,,
Lesley University,Coed,,,12/1/2025,,,Rolling,$0,$0,Yes,,SR,,N,See Website,See Website,1,,,,Y
Lewis & Clark College,Coed,11/1/2025,,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,1,,Y,,
Lewis University,Coed,,,12/1/2025,,,3/1/2026,$0,$0,,,,,F,SAT without essay or ACT without science or writing,See Website,,,,,Y
Liberty University,Coed,,,,,,7/29/2026,$0,$0,,,,,N,See Website,D or I or T or P,,,,,
Life University,Coed,,,,,,6/7/2026,$0,$0,,Yes,,,F,None,See Website,,,,,
Lincoln Land Community College,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,
Lincoln Memorial University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,I or T,,,,,
Lincoln University of Pennsylvania,Coed,,,2/1/2026,,,Rolling,$0,$0,,Yes,,,F,None,T,,,,,Y
Lindenwood University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,Y
Linfield University,Coed,,,11/10/2025,,,5/1/2026,$0,$0,Yes,,,,N,None,See Website,,,Y,,Y
Lipscomb University,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,D or I or T,1,,,Y,Y
List College The Jewish Theological Seminary,Coed,11/1/2025,1/2/2026,1/2/2026,,,2/3/2026,$65,$65,Yes,Yes,,Yes,N,See Website,D or I or T,2,,Y,Y,Y
Livingstone College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,T,,,,,
Long Island University,Coed,11/15/2025,,12/15/2025,,,Rolling,$50,$50,,,,,N,See Website,See Website,,,,,
Longwood University,Coed,11/1/2025,,12/1/2025,,,2/1/2026,$50,$50,,,,,S,See Website,C or D or I or T,,,,,
Loras College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Louisiana State University A&M-Baton Rouge,Coed,,,,,,Rolling,$50,$50,,,,,F,See Website,D or I or T,,,,,Y
Loyola Marymount University,Coed,11/1/2025,1/8/2026,11/1/2025,,,3/1/2026,$75,$75,Yes,Yes,,,N,See Website,D or I or T or P,1,,,Y,
Loyola University Chicago,Coed,,,,,,12/1/2025,$0,$0,,,,,N,None,See Website,,,,Y,Y
Loyola University Maryland,Coed,11/15/2025,1/15/2026,11/15/2025,,,1/15/2026,$60,$60,Yes,,,,N,See Website,D or I or T,1,,,Y,Y
Loyola University New Orleans,Coed,,,11/15/2025,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,
Lubbock Christian University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT with science and writing,D or T,,,,,
Luther College,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,1,,,,Y
Lycoming College,Coed,11/15/2025,,12/1/2025,,,Rolling,$0,$0,Yes,,,,S,See Website,D or I or T or P,1,,,,
Lynn University,Coed,11/1/2025,,11/15/2025,1/15/2026,,3/1/2026,$0,$0,,,,,S,See Website,C or D or I or T or P,,,Y,,Y
Lyon College,Coed,,,11/15/2025,,,5/1/2026,$0,$0,,,,,N,None,D or I or T or P,,,,,
Macalester College,Coed,11/1/2025,1/1/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,COL,,N,None,See Website,1,,Y,Y,
Madonna University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Maine College of Art & Design,Coed,,,12/1/2025,,,3/1/2026,$70,$70,Yes,,SR,,N,None,See Website,,,,,Y
Maine Maritime Academy,Coed,,,11/30/2025,,,5/1/2026,$50,$50,Yes,,,,F,None,I or T,,,Y,Y,Y
Malone University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,I or T,,,,,Y
Manchester University,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,D or I or T,,,,,Y
Manhattan University,Coed,11/15/2025,,,,,Rolling,$75,$75,Yes,,,,N,See Website,D or I or T or P,1,,,,Y
Manhattanville University,Coed,,,11/17/2025,,,Rolling,$75,$75,Yes,,,,F,See Website,D or I or T,1,,Y,Y,Y
Manor College,Coed,,,,,,7/30/2026,$0,$0,,Yes,,,S,See Website,See Website,,,,,Y
Marian University - Indiana,Coed,,,,,,Rolling,$0,$0,,,,,I,None,D or I or T or P,,,,,Y
Marian University - Wisconsin,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Marietta College,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,Y,
Marist University,Coed,11/15/2025,2/15/2026,11/15/2025,,,2/15/2026,$50,$50,Yes,,SR,,N,See Website,See Website,,,Y,Y,
Marquette University,Coed,,,11/15/2025,,,2/1/2026,$0,$0,Yes,,,Yes,N,See Website,See Website,,,,,Y
Marshall University,Coed,,,,,,Rolling,$40,$150,,,,,F,See Website,See Website,,,,,Y
Mary Baldwin University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,D or I or T,,,,,
Mary Immaculate College,Coed,,,,,,Rolling,$0,$0,Yes,,,,A,SAT without essay or ACT with writing,See Website,,,Y,,
